1,1,Bench press,"",2026-03-03 18:34:41.299,2026-03-03 18:34:41.299
2,1,Dumbbell bench press,"",2026-03-03 18:35:52.882,2026-03-03 18:35:52.882
3,1,Chest Fly Machine,"",2026-03-03 18:36:55.317,2026-03-03 18:36:55.317
4,1,Dips,"",2026-03-03 18:37:04.469,2026-03-03 18:37:04.469
5,2,Cable Triceps Pushdown,"",2026-03-03 18:38:02.624,2026-03-03 18:38:02.624
6,2,Overhead Cable Extension,"",2026-03-03 18:38:40.073,2026-03-03 18:38:40.073
7,2,Diamond Push-ups,"",2026-03-03 18:38:58.037,2026-03-03 18:38:58.037
8,2,Skull Crushers,"",2026-03-03 18:39:08.122,2026-03-03 18:39:08.122
9,3,Pull-ups,"",2026-03-03 18:39:43.484,2026-03-03 18:39:43.484
10,3,Deadlift,"",2026-03-03 18:39:50.987,2026-03-03 18:39:50.987
11,3,Bent Over Row,"",2026-03-03 18:40:02.319,2026-03-03 18:40:02.319
12,3,Lat Pulldown,"",2026-03-03 18:40:11.553,2026-03-03 18:40:11.553
13,3,Horizontal Cable Row,"",2026-03-03 18:40:25.748,2026-03-03 18:40:25.748
14,4,Bicep Curls,"",2026-03-03 18:41:45.855,2026-03-03 18:41:45.855
15,4,Hammer Curls,"",2026-03-03 18:41:51.932,2026-03-03 18:41:51.932
16,4,Barbell Curls,"",2026-03-03 18:42:15.358,2026-03-03 18:42:15.358
17,4,Preacher Curls,"",2026-03-03 18:42:29.615,2026-03-03 18:42:29.615
18,4,Chin-ups,"",2026-03-03 18:42:37.607,2026-03-03 18:42:37.607
19,5,Squats,"",2026-03-03 18:42:48.168,2026-03-03 18:42:48.168
20,5,Leg Press,"",2026-03-03 18:42:52.276,2026-03-03 18:42:52.276
21,5,Lying Leg Curl,"",2026-03-03 18:43:03.237,2026-03-03 18:43:03.237
22,5,Calf Raises,"",2026-03-03 18:43:11.059,2026-03-03 18:43:11.059
23,6,Overhead Press (Military Press),"",2026-03-03 18:43:25.211,2026-03-03 18:43:25.211
24,6,Lateral Raises,"",2026-03-03 18:43:29.483,2026-03-03 18:43:29.483
25,6,Front Raises,"",2026-03-03 18:43:38.182,2026-03-03 18:43:38.182
26,6,Rear Delt Fly,"",2026-03-03 18:43:43.888,2026-03-03 18:43:43.888
27,7,Hanging Leg Raises,"",2026-03-03 18:44:27.666,2026-03-03 18:44:27.666
28,7,Cable Crunches,"",2026-03-03 18:44:34.706,2026-03-03 18:44:34.706
29,7,Ab Wheel Rollouts,"",2026-03-03 18:44:41.637,2026-03-03 18:44:41.637
30,7,Plank,"",2026-03-03 18:45:05.942,2026-03-03 18:45:05.942
